,fname,MeanCycle_fvec,MeanCycle_novec,Vector
0,influence.c_compute_escape_influence_line1557,4087,1,True
1,influence.c_compute_escape_influence_line1565,92,113,False
2,influence.c_compute_escape_influence_line1569,14239,24359,True
3,influence.c_compute_escape_influence_line1605,23149,1,True
4,influence.c_compute_followup_influence_line1511,5471,18609,True
5,influence.c_do_compute_influence_line941,21009,55796,True
6,influence.c_find_influence_patterns_line890,40660,42028,False
7,influence.c_store_delta_territory_cache_line1644,1104,7892,True
8,influence.c_value_territory_line1198,148998,158121,False
9,matchpat.c_dfa_prepare_for_match_line512,16309,124243,True
10,matchpat.c_dfa_prepare_for_match_line517,1626,1078,False
11,move_reasons.c_add_lunch_line341,577,171,True
12,move_reasons.c_add_replacement_move_line1391,1,19654,True
13,move_reasons.c_find_connection_line145,286,211,True
14,move_reasons.c_find_eye_line244,311,168,True
15,move_reasons.c_remove_lunch_line366,278,181,True
16,optics.c_false_margin_line519,522,205,False
17,optics.c_false_margin_line528,436,274,False
18,owl.c_do_owl_analyze_semeai_line438,629,580,True
19,owl.c_eat_lunch_escape_bonus_line4721,283,213,True
20,owl.c_list_goal_worms_line5121,266,302,True
21,owl.c_owl_escape_value_line4863,365,416,False
22,owl.c_owl_lively_line4407,585,307,False
23,owl.c_owl_lively_line4414,590,671,True
24,owl.c_owl_update_goal_line3481,760,409,True
25,persistent.c_mark_string_hotspot_values_line557,1,1,True
26,persistent.c_owl_hotspots_line930,1029,6563,True
