fname,RAR,RAW,TotalNumberOfDependencies,WAR,WAW,MeanCycle_fvec,MeanCycle_novec,MeanCycle_vec,Vector,factor
aftermath.c_aftermath_genmove_line142,0,0,0,0,0,158005,157902,161428,False,Dependence present (Any type)
aftermath.c_aftermath_genmove_line173,0,0,0,0,0,3742,28807,3674,True,3.64
aftermath.c_aftermath_genmove_line369,0,0,0,0,0,236,215,225,False,   remark #15520: loop was not vectorized: loop with multiple exits cannot be vectorized unless it m
aftermath.c_play_aftermath_line934,0,0,0,0,0,5325,18668,5936,True,4.47
aftermath.c_play_aftermath_line960,0,0,0,0,0,1,1,1,False,Dependence present (Any type)
board.c_clear_board_line404,0,0,0,0,0,34802,57462,35049,True,1.16
board.c_count_common_libs_line1956,0,0,0,0,0,1024,1210,1189,True,2.54
board.c_findstones_line2121,0,0,0,0,0,200,207,203,False,   remark #15520: loop was not vectorized: loop with multiple exits cannot be vectorized unless it m
board.c_get_last_opponent_move_line998,0,0,0,0,0,117,150,111,False,   remark #15520: loop was not vectorized: loop with multiple exits cannot be vectorized unless it m
board.c_new_position_line2741,0,0,0,0,0,2373,15692,2459,True,6.15
board.c_stones_on_board_line2672,0,0,0,0,0,1,1,1,True,4.1
board.c_test_gray_border_line434,0,0,0,0,0,1,1,1,False,   remark #15520: loop was not vectorized: loop with multiple exits cannot be vectorized unless it m
cache.c_hashtable_partially_clear_line317,0,0,0,0,0,984,2468,957,False,Inner loop was already vectorized
combination.c_get_aa_status_line555,0,0,0,0,0,178,174,134,False,   remark #15520: loop was not vectorized: loop with multiple exits cannot be vectorized unless it m
combination.c_get_aa_value_line1164,0,0,0,0,0,198,142,158,False,Vectorization not profitable
dragon.c_compute_surrounding_moyo_sizes_line1968,0,0,0,0,0,1823,13675,1886,True,5.08
dragon.c_connected_to_eye_line1292,0,0,0,0,0,545,363,368,False,Vectorization not profitable
dragon.c_crude_dragon_weakness_line2057,0,0,0,0,0,172,192,177,False,Dependence present (Any type)
dragon.c_dragon_escape_line1729,0,0,0,0,0,21582,22244,21537,False,Dependence present (Any type)
filllib.c_filllib_confirm_safety_line511,0,0,0,0,0,1,1,1,False,   remark #15520: loop was not vectorized: loop with multiple exits cannot be vectorized unless it m
fuseki.c_openregion_line72,0,0,0,0,0,1526,1316,1295,False,   remark #15520: loop was not vectorized: loop with multiple exits cannot be vectorized unless it m
fuseki.c_set_symmetries_line89,0,0,0,0,0,1,1,1,False,Inner loop was already vectorized
hash.c_hashdata_recalc_line196,0,0,0,0,0,25667,24819,26541,False,Dependence present (Any type)
influence.c_accumulate_influence_line178,0,0,0,0,0,1323,6890,1389,True,4.62
influence.c_accumulate_influence_line277,0,0,0,0,0,986,969,1036,False,Dependence present (Any type)
influence.c_accumulate_influence_line285,0,0,0,0,0,183,174,180,False,Dependence present (Any type)
influence.c_accumulate_influence_line296,0,0,0,0,0,4960,6938,4972,True,2.61
