FileName	branch-instructions	branch-misses	bus-cycles	cache-misses	cache-references	cpu-cycles	instructions	ref-cycles	alignment-faults	context-switches	cpu-clock	cpu-migrations	dummy	emulation-faults	major-faults	minor-faults	page-faults	task-clock	L1-dcache-load-misses	L1-dcache-loads	L1-dcache-prefetches	L1-dcache-store-misses	L1-dcache-stores	L1-icache-load-misses	L1-icache-loads	LLC-load-misses	LLC-loads	LLC-store-misses	LLC-stores	branch-load-misses	branch-loads	dTLB-load-misses	dTLB-loads	dTLB-store-misses	dTLB-stores	iTLB-load-misses	iTLB-loads	branch-instructions	branch-misses	bus-cycles	cache-misses	cache-references
influence.c_compute_escape_influence_line1557.novec 1,100,150 29,154 1,470,446 9,431 226,443 8,833,195 5,376,513 13,029,966 0 66 4.108096 0 0 0 0 528 528 4.051626 207,867 1,984,430 11,066 179,434 1,012,380 64,868 6,067,942 4,514 75,743 2,157 7,174 29,871 1,089,703 16,653 1,987,123 2,678 1,006,759 969 5,339,387 1,084,363 29,440 1,352,282 5,634 224,224
influence.c_compute_escape_influence_line1565.novec 812,969 25,455 1,135,924 9,723 202,213 7,335,217 4,170,173 11,132,262 0 66 4.056941 0 0 0 0 510 510 3.609839 199,959 1,647,991 10,827 175,215 808,150 58,995 5,356,920 4,121 75,058 1,833 6,677 25,756 810,921 14,954 1,642,824 2,261 808,923 780 4,154,122 815,319 25,335 1,220,974 9,243 210,791
influence.c_compute_escape_influence_line1569.novec 1,492,474 32,512 1,514,591 9,580 223,681 8,426,057 7,020,688 13,536,108 0 65 4.633710 0 0 0 0 528 528 4.862137 201,773 2,462,820 11,273 178,639 1,333,610 65,374 6,812,310 3,686 79,484 2,342 7,147 31,010 1,482,531 15,878 2,459,653 2,597 1,334,719 954 7,013,544 1,482,036 32,309 1,499,349 9,167 224,022
influence.c_compute_escape_influence_line1605.novec 1,142,784 29,283 1,364,339 7,762 224,159 7,773,633 5,535,412 12,256,335 0 65 3.754909 0 0 0 0 527 527 3.939649 207,115 2,023,159 10,704 178,795 1,047,980 65,047 5,999,622 2,384 78,657 2,163 6,973 29,071 1,125,626 15,649 2,045,823 2,965 1,056,465 958 5,558,008 1,129,617 28,634 1,290,022 9,135 224,872
influence.c_compute_followup_influence_line1511.novec 1,286,530 31,231 1,193,005 3,809 166,798 6,959,430 5,891,938 10,438,335 0 5 3.227665 1 0 0 0 573 577 3.366697 141,111 1,855,939 10,075 636,821 938,508 47,207 7,115,130 1,950 62,133 653 7,655 29,812 1,270,461 14,718 1,846,418 2,068 938,579 1,282 5,852,260 1,268,715 30,684 1,116,298 6,920 167,216
influence.c_do_compute_influence_line941.novec 940,086 26,974 986,821 5,253 152,669 14,356,434 4,428,040 8,048,466 0 5 2.914056 1 0 0 0 543 543 3.004116 134,604 1,485,946 9,938 98,139 723,147 41,031 4,451,448 2,314 60,295 7,448 4,886 26,446 929,295 14,630 1,477,170 1,934 718,262 1,178 4,435,253 1,718,659 26,360 1,023,428 18,544 154,530
influence.c_find_influence_patterns_line890.novec 1,273,252 29,167 1,158,999 6,830 174,113 6,758,523 5,812,781 10,176,129 0 6 3.112885 1 0 0 0 576 580 3.501576 139,280 1,899,456 9,922 101,311 966,158 49,341 5,397,379 2,530 64,005 7,224 14,940 28,926 2,043,458 14,869 1,885,824 2,305 968,864 1,353 5,797,434 1,258,387 27,963 1,073,899 5,804 172,720
influence.c_store_delta_territory_cache_line1644.novec 812,567 27,211 1,433,772 7,803 208,138 7,292,460 4,188,019 10,487,250 0 66 3.684804 0 0 0 0 510 510 3.682395 197,288 1,647,566 10,790 175,958 808,584 58,929 5,508,112 2,138 76,258 2,217 6,584 26,047 803,222 14,750 1,650,434 2,433 807,469 777 4,134,744 803,581 25,340 1,183,126 6,253 207,447
influence.c_value_territory_line1198.novec 2,439,155 36,352 1,253,557 3,228 401,990 8,096,474 7,656,029 10,999,701 0 9 4.021341 0 0 0 0 583 553 3.958918 375,699 2,365,164 10,289 104,133 1,234,044 122,111 6,262,170 3,777 65,916 633 5,808 35,060 1,664,141 14,335 2,420,150 2,491 1,236,838 1,304 7,653,752 2,472,472 34,154 1,277,460 7,566 189,143
matchpat.c_dfa_prepare_for_match_line512.novec 813,664 26,229 1,150,863 5,981 209,189 7,283,570 4,227,828 11,178,207 0 55 3.605801 0 0 0 0 510 510 3.552826 197,739 1,646,139 11,382 176,108 811,315 59,382 5,393,517 3,950 75,239 1,898 6,739 25,799 799,164 15,207 1,653,235 2,296 804,867 781 4,144,156 808,304 25,563 1,257,410 9,019 210,353
matchpat.c_dfa_prepare_for_match_line517.novec 978,857 28,762 1,290,451 9,635 230,350 8,280,620 4,892,120 12,568,437 0 70 4.049279 0 0 0 0 531 530 4.043789 202,816 1,850,899 10,944 180,380 936,287 66,833 5,943,767 4,152 75,702 2,155 6,992 28,769 977,505 16,041 1,860,743 2,242 934,157 960 4,931,053 976,081 29,410 1,339,812 10,105 224,652
move_reasons.c_add_lunch_line341.novec 987,911 28,618 1,282,960 9,465 225,636 7,817,973 4,916,052 12,395,088 0 66 4.212111 2 0 0 0 528 528 3.724289 199,659 1,865,184 10,775 178,296 950,717 64,555 5,523,688 4,243 77,022 2,045 7,111 28,289 979,762 16,233 1,864,028 2,753 937,177 965 4,905,740 973,484 29,379 1,314,387 8,441 221,180
