FileName	branch-instructions	branch-misses	bus-cycles	cache-misses	cache-references	cpu-cycles	instructions	ref-cycles	alignment-faults	context-switches	cpu-clock	cpu-migrations	dummy	emulation-faults	major-faults	minor-faults	page-faults	task-clock	L1-dcache-load-misses	L1-dcache-loads	L1-dcache-prefetches	L1-dcache-store-misses	L1-dcache-stores	L1-icache-load-misses	L1-icache-loads	LLC-load-misses	LLC-loads	LLC-store-misses	LLC-stores	branch-load-misses	branch-loads	dTLB-load-misses	dTLB-loads	dTLB-store-misses	dTLB-stores	iTLB-load-misses	iTLB-loads	
aftermath.c_aftermath_genmove_line142.novec 1,122,878 30,987 1,475,126 7,890 232,715 8,528,696 5,326,080 12,594,051 0 64 4.110484 0 0 0 0 531 531 4.237364 205,002 1,993,985 10,942 180,299 1,020,696 69,000 6,024,797 4,282 79,085 2,212 7,180 28,647 1,109,559 15,454 2,000,030 2,571 1,018,767 1,024 5,472,287
aftermath.c_aftermath_genmove_line173.novec 1,105,561 29,576 1,364,467 9,462 223,016 7,704,044 5,415,623 11,381,490 0 61 4.097878 0 0 0 0 529 530 4.011934 207,706 1,989,431 11,174 179,616 1,013,374 65,026 6,087,559 3,968 78,339 2,031 6,978 28,733 1,091,497 18,285 1,977,329 2,472 1,008,368 967 5,324,080
aftermath.c_aftermath_genmove_line369.novec 1,116,299 30,730 1,342,986 9,657 229,699 8,330,216 5,386,752 11,829,996 0 63 4.108423 0 0 0 0 530 530 4.133539 205,066 2,004,698 10,915 182,127 1,021,419 67,535 5,805,970 4,577 81,207 2,119 7,223 30,301 1,107,314 15,549 2,016,392 2,312 1,020,362 1,020 5,494,112
aftermath.c_play_aftermath_line934.novec 1,102,566 30,700 1,475,148 5,827 219,696 8,213,190 5,383,560 12,344,130 0 67 4.227443 0 0 0 0 528 528 3.752361 203,971 1,982,913 11,021 177,993 1,006,787 66,066 5,745,994 2,663 77,916 1,678 7,298 29,326 1,104,186 16,330 1,990,000 2,493 1,011,055 959 5,381,370
aftermath.c_play_aftermath_line960.novec 1,120,424 27,790 1,118,704 4,519 160,954 5,928,564 5,052,577 8,704,503 0 5 2.893504 0 0 0 0 561 560 3.292517 140,254 1,671,244 9,779 99,146 850,701 44,053 4,113,399 1,590 62,481 346 5,219 26,893 1,103,483 14,542 1,664,231 2,244 847,331 1,211 5,089,030
board.c_clear_board_line404.novec 809,539 25,681 1,268,636 8,653 208,749 7,348,838 4,177,034 11,226,267 0 69 3.370415 0 0 0 0 510 510 3.449168 207,074 1,652,157 11,232 176,184 808,762 61,448 5,510,071 4,233 76,642 2,359 6,210 25,699 805,092 15,474 1,656,396 2,447 809,240 783 4,189,466
board.c_count_common_libs_line1956.novec 853,673 34,876 956,613 18,610 383,323 5,903,370 3,958,201 8,111,268 0 3 7.245533 0 0 0 0 562 567 2.945951 366,593 1,374,150 14,563 98,111 668,632 112,387 4,126,499 3,801 60,287 914 5,346 24,971 845,134 14,026 1,363,560 2,787 2,059,879 1,154 3,981,567
board.c_findstones_line2121.novec 949,472 27,832 1,259,468 6,849 220,758 8,532,392 4,765,825 11,206,557 0 65 3.998064 0 0 0 0 527 528 3.648348 209,839 1,855,456 10,942 178,731 915,843 62,961 5,629,505 4,851 76,152 1,829 7,149 27,272 951,583 16,378 1,838,474 2,489 916,398 904 4,778,649
board.c_get_last_opponent_move_line998.novec 1,168,274 29,404 1,341,433 9,745 228,433 8,323,194 5,626,379 12,491,478 0 66 4.079551 0 0 0 0 529 529 3.833504 203,265 2,050,406 12,094 179,456 1,054,168 67,867 6,338,015 3,931 79,924 2,469 7,411 28,898 1,160,290 15,070 2,072,063 2,536 1,052,311 953 5,670,455
board.c_new_position_line2741.novec 968,963 28,205 1,264,749 9,830 220,096 7,412,511 4,804,093 11,604,825 0 65 3.829723 0 0 0 0 527 527 3.798379 200,673 1,828,038 10,964 179,851 904,786 63,130 5,649,541 3,973 79,015 1,947 7,098 27,839 951,796 14,385 1,846,835 2,449 916,259 925 4,814,162
