FileName	branch-instructions	branch-misses	bus-cycles	cache-misses	cache-references	cpu-cycles	instructions	ref-cycles	alignment-faults	context-switches	cpu-clock	cpu-migrations	dummy	emulation-faults	major-faults	minor-faults	page-faults	task-clock	L1-dcache-load-misses	L1-dcache-loads	L1-dcache-prefetches	L1-dcache-store-misses	L1-dcache-stores	L1-icache-load-misses	L1-icache-loads	LLC-load-misses	LLC-loads	LLC-store-misses	LLC-stores	branch-load-misses	branch-loads	dTLB-load-misses	dTLB-loads	dTLB-store-misses	dTLB-stores	iTLB-load-misses	iTLB-loads	branch-instructions	branch-misses	bus-cycles	cache-misses	cache-references
persistent.c_reading_hotspots_line602.novec 801,071 25,763 1,237,984 8,273 210,032 7,536,789 4,163,176 10,876,446 0 65 3.575983 0 0 0 0 510 510 4.007564 203,608 1,665,639 11,166 176,970 809,821 60,491 5,355,308 4,133 75,555 2,043 6,499 26,150 809,002 14,972 1,646,679 2,056 804,117 786 4,162,537 812,706 25,552 1,194,264 7,738 205,107
persistent.c_store_persistent_owl_cache_line755.novec 1,138,673 28,880 1,292,972 8,548 222,488 8,053,248 5,540,776 12,385,935 0 66 4.003510 0 0 0 0 528 527 4.122792 208,417 2,027,503 11,847 178,868 1,058,108 66,570 6,193,578 4,021 76,009 2,163 7,124 28,772 1,128,979 15,039 2,029,123 2,140 1,052,227 948 5,546,414 1,132,098 28,894 1,259,665 9,989 222,811
persistent.c_store_persistent_reading_cache_line424.novec 953,485 27,846 1,261,100 9,518 216,112 7,366,049 4,740,130 11,488,473 0 63 3.771514 0 0 0 0 526 527 3.712256 205,276 1,824,425 10,918 178,101 904,347 63,388 5,559,501 4,046 78,653 2,197 7,103 27,747 939,822 16,284 1,812,155 2,157 900,713 908 4,750,321 951,484 26,935 1,273,482 7,224 213,857
persistent.c_store_persistent_reading_cache_line461.novec 1,135,930 29,316 1,372,490 9,253 222,517 8,102,093 5,530,718 12,204,414 0 68 4.097181 0 0 0 0 527 527 4.106187 199,707 2,027,951 11,437 177,187 1,055,633 65,868 6,473,347 3,102 79,684 1,595 6,779 28,611 1,132,462 14,671 2,011,348 2,266 1,056,147 954 5,537,657 1,132,922 28,369 1,357,824 9,629 223,999
persistent.c_store_persistent_reading_cache_line472.novec 1,134,942 29,493 1,378,448 8,912 221,023 8,193,194 5,522,965 11,788,911 0 67 4.155518 0 0 0 0 527 527 4.074514 204,281 2,030,220 11,651 177,766 1,045,713 64,786 6,005,764 4,121 77,916 2,141 7,030 28,089 1,131,587 15,757 2,037,844 2,420 1,048,742 950 5,542,879 1,128,697 28,223 1,335,636 9,651 223,230
persistent.c_store_persistent_reading_cache_line485.novec 1,413,246 23,173 861,927 6,464 356,209 5,072,349 2,822,036 7,751,097 0 187 6.939214 0 0 0 0 558 530 6.631499 136,690 1,056,252 9,416 96,135 480,378 37,249 3,228,521 4,025 59,760 871 7,117 22,665 566,757 13,386 2,901,268 2,471 1,803,307 1,076 2,850,200 560,762 22,803 2,291,137 6,720 363,445
readconnect.c_find_connection_moves_line716.novec 1,089,692 30,132 1,263,051 6,152 220,994 7,759,850 5,330,842 12,253,590 0 68 4.049125 0 0 0 0 529 529 3.973849 201,843 1,963,312 10,715 179,090 996,818 64,219 6,113,912 3,949 77,061 1,942 7,381 29,820 1,089,033 14,622 1,948,015 2,776 996,533 964 5,304,479 1,086,030 29,734 1,374,607 9,625 220,121
readconnect.c_find_connection_moves_line767.novec 959,450 28,215 1,365,436 8,741 216,416 7,809,710 4,773,369 11,630,817 0 65 4.258323 0 0 0 0 527 527 3.854564 201,862 1,813,587 11,482 179,275 899,805 62,505 5,502,051 4,272 75,794 2,253 6,806 28,260 959,154 14,124 1,821,280 2,379 904,547 911 4,750,931 953,884 27,605 1,284,982 9,340 213,630
reading.c_attack4_line3043.novec 841,759 26,939 1,197,692 9,469 217,947 7,478,545 4,255,311 11,564,505 0 70 3.740263 0 0 0 0 527 527 3.732146 198,999 1,686,866 10,803 179,516 832,021 61,653 5,491,737 3,445 78,304 2,165 6,814 26,849 840,079 14,442 1,698,910 2,438 831,750 897 4,294,275 825,635 26,587 1,150,377 5,366 214,170
reading.c_break_chain2_defense_moves_line3931.novec 841,464 26,855 1,249,874 8,854 214,149 7,026,670 4,286,246 10,525,419 0 65 3.846116 0 0 0 0 527 528 3.699312 203,314 1,698,137 10,636 176,944 838,761 62,642 5,428,061 3,527 78,132 1,981 6,790 26,774 843,044 17,660 1,695,862 2,178 834,536 913 4,304,269 835,623 26,512 1,240,043 9,388 213,598
